woop,w00p,Woop Clan,http://woop.us/,w00p|*,,https://cloud.githubusercontent.com/assets/2464813/12814066/25c656a4-cb34-11e5-87a7-dbff30d759c6.png,ts3server://woop.ac?port=9988&channel=Clans/Woop%20Clan
bc,BC,Beyond Compare,http://beyond-compare.xobor.com/,*|BC|*,,https://cloud.githubusercontent.com/assets/2464813/12814156/cbcd5e62-cb34-11e5-9929-e12fa4170e9c.png,ts3server://woop.ac?port=9988&channel=Clans/Beyond%20Compare
one,oNe,Owning Noobs Everywhere,,*|oNe|*,,https://cloud.githubusercontent.com/assets/5359646/12004218/d1c7c4a4-ab47-11e5-8084-c9d6d5d7ef2e.png,
rc,rC,Rising Cubers,http://585437.xobor.com/,*.rC|*,,https://cloud.githubusercontent.com/assets/16243477/12145853/d3616b38-b490-11e5-9d01-8d49c2bfa666.png,
vm,vM,Victrix Mortalis,http://vmclan-ac.enjin.com/,.vM|*,,https://cloud.githubusercontent.com/assets/2464813/12003540/00294678-ab1c-11e5-9660-6e764b07d0df.png,
psy,PSY,Psychopaths shooting you,http://psyclan.org/,[PSY]*,,https://cloud.githubusercontent.com/assets/2464813/12003541/0af42866-ab1c-11e5-8a13-c63973cd9d91.png,
stk,STK,Shoot to kill,,STK#*,,https://cloud.githubusercontent.com/assets/2464813/12003543/1010d600-ab1c-11e5-8b1e-81af3b09fa4d.png,
ax,4X,dot four x,,.4X|*,,https://cloud.githubusercontent.com/assets/2464813/12003544/1c371b10-ab1c-11e5-9629-d15003712653.png,
brc,BRC,Brazilian Revolutionary Clan,,*[BRC]*,,https://cloud.githubusercontent.com/assets/5359646/12004235/a0716ff8-ab48-11e5-8a1c-5714886f1fc6.png,ts3server://woop.ac?port=9988&channel=Clans/Brazilian%20Revolutionary%20Clan
fel,FEL,Fuerza Elite Latina,,*~FEL~*,,https://cloud.githubusercontent.com/assets/2464813/12003549/275ee158-ab1c-11e5-9f52-e2c37c32efaa.png,
imnt,IMNT.,IMNT,http://imnt.ga/,IMNT.*,,https://camo.githubusercontent.com/1f39f6dbc9c69d1d0614050e6b23cb17e64524df/687474703a2f2f77696b692e6375626572732e6e65742f696d616765732f392f39382f496d6e74706572666563743276322e706e67,ts3server://woop.ac?port=9988&channel=Clans/IMNT
gaf,GaF,Gaf,,*|GaF|*,,https://cloud.githubusercontent.com/assets/2464813/12003552/31844aec-ab1c-11e5-83ad-beaab0d637ca.png,
fad,FaD,Fight and Die,,*|FaD|*,,https://cloud.githubusercontent.com/assets/2464813/12003553/375d77d6-ab1c-11e5-9146-7cee96ef81bb.png,
kh,KH,Kell Hounds,http://kellhounds-ac.ml/,*|KH|*,,https://cloud.githubusercontent.com/assets/16243477/12007809/cb6c1352-ac15-11e5-9633-442bb1ba3d2e.png,
lc,LC,Legendary Cubers,http://www.legendary-cubers.tk/,*|#LC*,,https://cloud.githubusercontent.com/assets/2464813/12003557/434048bc-ab1c-11e5-85a6-2e287c590161.png,ts3server://woop.ac?port=9988&channel=Clans/Legendary%20Cubers
b,B,Bodyguards,,B}*,,https://cloud.githubusercontent.com/assets/2464813/12003559/4f21e5fa-ab1c-11e5-9d02-007a09ce63f4.png,
fra,Fra,French ACWC team,,Fra|*,,https://cloud.githubusercontent.com/assets/5359646/12004888/802b28ec-ab7f-11e5-8927-c8b33d9cf74c.png,
mys,MyS,Makes you Sick,http://myys.bplaced.net/,*=MyS=*,,https://cloud.githubusercontent.com/assets/16243477/12007811/08f26e38-ac16-11e5-8855-e23429e226d8.png,
u,U,Unbreakable,http://unbreakable-ac.cf/,U|*,,https://cloud.githubusercontent.com/assets/5359646/12004841/d10c564a-ab7b-11e5-8d41-00e673cc0096.png,ts3server://woop.ac?port=9988&channel=Clans/Unbreakable
ar,aR,Auto Reload,,aR#*,,https://cloud.githubusercontent.com/assets/2464813/12003564/62218250-ab1c-11e5-9166-d46241e8b22d.png,
sow,SoW,Sow,,*-SoW-*,,https://cloud.githubusercontent.com/assets/2464813/12003565/66fe6450-ab1c-11e5-894d-e46234d5edb5.png,
pi,Pi,Paradox Infinity,http://paradoxinfinity.net/,Pi_*,,https://cloud.githubusercontent.com/assets/10406781/25064930/d4810c9c-2205-11e7-8335-5d11707f5b06.jpg,ts3server://woop.ac?port=9988&channel=Clans/Paradox%20Infinity
aox,AoX,Art of Execution,,*|AoX|*,,https://cloud.githubusercontent.com/assets/2464813/12003570/88226d52-ab1c-11e5-99e8-508a09d75496.png,
fd,FD,Fundog,http://www.fundog-theclan.com/,FD*,,https://cloud.githubusercontent.com/assets/5359646/12004238/cb819812-ab48-11e5-8aec-ee7fcea8fef0.png,
as,45,Angry Souls,,.45|*,,https://cloud.githubusercontent.com/assets/2464813/12003572/936699a4-ab1c-11e5-9384-e6ca00fc4bb9.png,
xw,xW,Xtrem Warriors,,-xW-#*,,https://cloud.githubusercontent.com/assets/2464813/12003574/95e624ec-ab1c-11e5-9b48-375b40cab31b.png,
tyd,TyD,Tear You Down,http://forum.tearyoudown.com/,*{TyD}*,,https://cloud.githubusercontent.com/assets/16243477/12023835/e9c0f71c-ad9d-11e5-9eda-cd16b6c16991.png,
acka,aCKa,Assault Cubers Kingly Assassins,http://www.acka.herobo.com/news.php,*[aCKa]*,,https://cloud.githubusercontent.com/assets/16243477/12076713/7181d0aa-b1b7-11e5-839a-fa47746ff537.png,
dnc,DnC,Damn Nasty Cubers,,*|DnC|*,,https://cloud.githubusercontent.com/assets/2464813/14408342/412bf156-ff23-11e5-8e64-17a38d7e48d3.png,
ir,iR,InReal,,iR|*,iR.|*,https://cloud.githubusercontent.com/assets/5359646/12004100/caeee00e-ab3d-11e5-8b35-9ed661f5b06f.png,ts3server://woop.ac?port=9988&channel=Clans/InReal
chicken,<(*),Swimming Birds,,<(*)*,,https://cloud.githubusercontent.com/assets/2464813/12191582/6c8d6c88-b5ce-11e5-8aa3-ea4f276cb5c8.png,
mibr,mibr,Made in Brasil,,mibr|*,,https://cloud.githubusercontent.com/assets/2464813/12191586/7218542e-b5ce-11e5-9ccb-3e5bbcbff976.png,
esl,ESL,ESL,,ESL|*,*|ESL,https://cloud.githubusercontent.com/assets/16243477/12023778/4dbade1e-ad9d-11e5-854f-6d29a90b24a3.png,
bra,BRA,Brazil Team,,*+BRA+*,,https://camo.githubusercontent.com/1239a920071437ee1c6f62fa2990f31f444d35fb/687474703a2f2f69636f6e732e69636f6e7365656b65722e636f6d2f706e672f66756c6c73697a652f636f756e7472792d666c6167732f6272617a696c2d666c61672e706e67,
taa,TAA,The Art Angels,http://theartangels.forumactif.com/,*|TAA|*,,https://cloud.githubusercontent.com/assets/2464813/14592418/dd3d60c4-0550-11e6-9d11-3d826d0fa84b.png,ts3server://woop.ac?port=9988&channel=Clans/The%20Art%20Angels
skw,SKW,Screen Killers World,http://facebook.com/ScreenKillersWorld,*[SKW]*,,https://cloud.githubusercontent.com/assets/5359646/12696510/145b0a88-c76d-11e5-8347-cd52ad7cf34f.png,
zz,ZZ,ZZ Gang,http://zzgang.tk,ZZ|*,*|ZZ,https://camo.githubusercontent.com/917eebe95e478190294b758244f71625740d4095/68747470733a2f2f66696c65732e6769747465722e696d2f5363616c6157696c6c69616d2f416374696f6e4650532f4f5739432f7a7a6c6f676f2d312e706e67,ts3server://zz.playmatch.xyz
tee,3I,3 Inches,,*3i|*,*|3i*,https://camo.githubusercontent.com/5387dba2106a48c16caa072ce8c2f1e064710c92/687474703a2f2f33692e7374796c656261722e64652f77702d636f6e74656e742f75706c6f6164732f323031362f30352f33692d6c6f676f2e706e67,
usa,USA,USA ACWC Team,,USA|*,*|USA,https://cloud.githubusercontent.com/assets/7859727/21722921/d9361e82-d42e-11e6-941f-45d1f6a03fb0.png,
bang,Bang,Bang Squad,,bang.*,*.bang,https://camo.githubusercontent.com/421d61f3cb4f9b5fc66fe96a5845a47753c6bf68/687474703a2f2f692e696d6775722e636f6d2f7073776a4251452e706e67,
uk,UK,United Kingdom ACWC,,UK.*,,https://camo.githubusercontent.com/b8b2897527533e7db05fd7c8662ba8af79eced51/687474703a2f2f69636f6e697a65722e6e65742f66696c65732f46696e616c5f466c6167732f7468756d622f36342f556e697465642d4b696e67646f6d2d666c61672e706e67,
de,DE,Germany ACWC,,de_*,,https://camo.githubusercontent.com/68261d0777dbe04d0cc794e19e97730fc39513f2/687474703a2f2f69636f6e732e69636f6e7365656b65722e636f6d2f706e672f36342f726f756e6465642d776f726c642d666c6167732f6765726d616e792d666c61672d312e706e67,
bene,BeNe,BeNe ACWC ,,BeNe|*,,https://camo.githubusercontent.com/d7b09157db701ea8b927b096b265cee256d55e0c/68747470733a2f2f75706c6f61642e77696b696d656469612e6f72672f77696b6970656469612f636f6d6d6f6e732f7468756d622f332f33322f466c61675f6f665f42656e656c75782e7376672f38303070782d466c61675f6f665f42656e656c75782e7376672e706e67,
vis,Vis,Vis,,vis.*,,,